tconst,genres
tt0082009,Animation
tt0082009,Drama
tt0082009,History
tt0082010,Comedy
tt0082010,Horror
tt0082014,Crime
tt0082014,Drama
tt0082014,Thriller
tt0082016,Drama
tt0082016,Romance
tt0082022,Comedy
tt0082022,Drama
tt0082022,Romance
tt0082025,Horror
tt0082031,Comedy
tt0082031,Romance
tt0082042,Adventure
tt0082042,Comedy
tt0082042,Romance
tt0082053,Comedy
tt0082053,Drama
tt0082053,Romance
tt0082053,Comedy
tt0082053,Drama
tt0082053,Romance
tt0082054,Comedy
tt0082054,Drama
tt0082054,Romance
tt0082057,Comedy
tt0082057,Crime
tt0082083,Comedy
tt0082083,Horror
tt0082083,Sci-Fi
tt0082085,Crime
tt0082085,Drama
tt0082085,Mystery
tt0082089,Crime
tt0082089,Drama
tt0082089,Romance
tt0082090,Drama
tt0082090,Sport
tt0082100,Comedy
tt0082100,Drama
tt0082100,Romance
tt0082116,Horror
tt0082118,Horror
tt0082128,Comedy
tt0082136,Action
tt0082136,Comedy
tt0082136,Sport
tt0082138,Comedy
tt0082138,Drama
tt0082145,Drama
tt0082145,Western
tt0082145,Drama
tt0082145,Western
tt0082156,Biography
tt0082156,Drama
tt0082156,Romance
tt0082158,Biography
tt0082158,Drama
tt0082158,Sport
tt0082163,Comedy
tt0082163,Crime
tt0082163,Comedy
tt0082163,Crime
tt0082173,Crime
tt0082173,Drama
tt0082175,Drama
tt0082182,Drama
tt0082182,Romance
tt0082183,Adventure
tt0082183,Comedy
tt0082183,Crime
tt0082186,Action
tt0082186,Adventure
tt0082186,Fantasy
tt0082193,Drama
tt0082193,Western
tt0082193,Drama
tt0082193,Western
tt0082198,Adventure
tt0082198,Fantasy
tt0082206,Comedy
tt0082206,Crime
tt0082206,Drama
tt0082217,Comedy
tt0082217,Drama
tt0082220,Crime
tt0082220,Drama
tt0082220,Mystery
tt0082225,Biography
tt0082225,Drama
tt0082225,History
tt0082233,Drama
tt0082233,Thriller
tt0082237,Horror
tt0082245,Horror
tt0082245,Thriller
tt0082246,Action
tt0082246,Action
tt0082247,Action
tt0082247,Adventure
tt0082247,Crime
tt0082250,Action
tt0082250,Crime
tt0082250,Drama
tt0082252,Documentary
tt0082252,History
tt0082252,Music
tt0082263,Comedy
tt0082263,Family
tt0082263,Fantasy
tt0082272,Horror
tt0082272,Sci-Fi
tt0082272,Horror
tt0082272,Sci-Fi
tt0082272,Horror
tt0082272,Sci-Fi
tt0082275,Drama
tt0082275,Drama
tt0082279,Horror
tt0082279,Mystery
tt0082279,Thriller
tt0082288,Action
tt0082288,Adventure
tt0082288,Fantasy
tt0082309,Crime
tt0082309,Drama
tt0082319,Comedy
tt0082319,Fantasy
tt0082323,Adventure
tt0082323,Family
tt0082323,Fantasy
tt0082323,Adventure
tt0082323,Family
tt0082323,Fantasy
tt0082332,Action
tt0082332,Crime
tt0082332,Drama
tt0082334,Drama
tt0082334,Horror
tt0082340,Action
tt0082340,Adventure
tt0082340,Sci-Fi
tt0082340,Action
tt0082340,Adventure
tt0082340,Sci-Fi
tt0082342,Crime
tt0082342,Drama
tt0082342,Thriller
tt0082351,Romance
tt0082351,Thriller
tt0082351,War
tt0082352,Horror
tt0082352,Thriller
tt0082353,Crime
tt0082353,Drama
tt0082353,Mystery
tt0082362,Drama
tt0082362,Horror
tt0082362,Thriller
tt0082367,Horror
tt0082370,Drama
tt0082370,Romance
tt0082377,Horror
tt0082395,Comedy
tt0082398,Action
tt0082398,Adventure
tt0082398,Thriller
tt0082399,Action
tt0082399,Adventure
tt0082399,Drama
tt0082400,Drama
tt0082402,Crime
tt0082402,Drama
tt0082405,Comedy
tt0082405,Drama
tt0082406,Adventure
tt0082406,Animation
tt0082406,Drama
tt0082416,Drama
tt0082416,Romance
tt0082418,Horror
tt0082418,Mystery
tt0082418,Thriller
tt0082418,Horror
tt0082418,Mystery
tt0082418,Thriller
tt0082418,Horror
tt0082418,Mystery
tt0082418,Thriller
tt0082422,Drama
tt0082425,Comedy
tt0082425,Fantasy
tt0082425,Horror
tt0082427,Horror
tt0082431,Action
tt0082431,Adventure
tt0082431,Horror
tt0082436,Crime
tt0082436,Drama
tt0082436,Mystery
tt0082449,Drama
tt0082449,Horror
tt0082449,Thriller
tt0082467,Horror
tt0082467,Mystery
tt0082467,Thriller
tt0082471,Crime
tt0082471,Drama
tt0082474,Adventure
tt0082474,Comedy
tt0082474,Crime
tt0082477,Comedy
tt0082477,Drama
tt0082477,Romance
tt0082484,Adventure
tt0082484,Drama
tt0082497,Drama
tt0082497,Horror
tt0082497,Thriller
tt0082498,Horror
tt0082498,Mystery
tt0082498,Thriller
tt0082501,Comedy
tt0082510,Drama
tt0082510,Romance
tt0082511,Horror
tt0082511,Thriller
tt0082511,Horror
tt0082511,Thriller
tt0082511,Horror
tt0082511,Thriller
tt0082511,Horror
tt0082511,Thriller
tt0082516,Action
tt0082516,Comedy
tt0082516,Crime
tt0082517,Comedy
tt0082517,History
tt0082517,Musical
tt0082523,Drama
tt0082524,Comedy
tt0082530,Crime
tt0082530,Drama
tt0082532,Action
tt0082532,Drama
tt0082532,War
tt0082533,Horror
tt0082539,Drama
tt0082539,Romance
tt0082547,Crime
tt0082547,Drama
tt0082547,Romance
tt0082558,Comedy
tt0082558,Sci-Fi
tt0082558,Comedy
tt0082558,Sci-Fi
tt0082580,Horror
tt0082592,Horror
tt0082592,Thriller
tt0082612,Action
tt0082612,Drama
tt0082619,Action
tt0082619,Adventure
tt0082619,Drama
tt0082640,Drama
tt0082640,Romance
tt0082642,Action
tt0082642,Adventure
tt0082642,Sci-Fi
tt0082648,Action
tt0082648,Adventure
tt0082648,Drama
tt0082650,Documentary
tt0082656,Drama
tt0082656,Romance
tt0082656,Drama
tt0082656,Romance
tt0082679,Animation
tt0082679,Comedy
tt0082679,Crime
tt0082679,Animation
tt0082679,Comedy
tt0082679,Crime
tt0082679,Animation
tt0082679,Comedy
tt0082679,Crime
tt0082690,Comedy
tt0082700,Adventure
tt0082700,Horror
tt0082700,Adventure
tt0082700,Horror
tt0082726,Comedy
tt0082726,Drama
tt0082733,Sci-Fi
tt0082736,Drama
tt0082766,Biography
tt0082766,Drama
tt0082776,Crime
tt0082776,Drama
tt0082776,Thriller
tt0082782,Horror
tt0082782,Mystery
tt0082782,Thriller
tt0082783,Comedy
tt0082783,Drama
tt0082801,Comedy
tt0082804,Horror
tt0082804,Mystery
tt0082804,Thriller
tt0082810,Drama
tt0082810,Family
tt0082810,History
tt0082812,Horror
tt0082812,Mystery
tt0082812,Thriller
tt0082816,Drama
tt0082816,Music
tt0082817,Action
tt0082817,Crime
tt0082817,Thriller
tt0082818,Horror
tt0082844,Drama
tt0082844,Thriller
tt0082848,Adventure
tt0082848,Comedy
tt0082849,Comedy
tt0082849,Romance
tt0082853,Comedy
tt0082853,Drama
tt0082886,Comedy
tt0082886,Romance
tt0082889,Drama
tt0082894,Drama
tt0082894,Musical
tt0082894,Romance
tt0082910,Horror
tt0082910,Sci-Fi
tt0082910,Thriller
tt0082919,Drama
tt0082927,Adventure
tt0082927,Crime
tt0082927,Drama
tt0082934,Crime
tt0082934,Drama
tt0082934,Romance
tt0082935,Action
tt0082935,Crime
tt0082935,Romance
tt0082945,Crime
tt0082945,Drama
tt0082948,Comedy
tt0082948,Romance
tt0082949,Action
tt0082949,Crime
tt0082949,Drama
tt0082951,Horror
tt0082951,Mystery
tt0082951,Thriller
tt0082958,Adventure
tt0082958,Crime
tt0082958,Drama
tt0082963,Comedy
tt0082963,Drama
tt0082963,Romance
tt0082968,Action
tt0082968,Adventure
tt0082968,Drama
tt0082968,Action
tt0082968,Adventure
tt0082968,Drama
tt0082968,Action
tt0082968,Adventure
tt0082968,Drama
tt0082971,Action
tt0082971,Adventure
tt0082971,Action
tt0082971,Adventure
tt0082992,Drama
tt0083000,Mystery
tt0083000,Thriller
tt0083005,Comedy
tt0083013,Comedy
tt0083024,Thriller
tt0083033,Comedy
tt0083033,Fantasy
tt0083033,Horror
tt0083041,Comedy
tt0083064,Action
tt0083064,Crime
tt0083064,Drama
tt0083067,Comedy
tt0083067,Musical
